11	基于Python的级联半带滤波器RTL自动生成方法	何秋秀李晓蓉邵杰卓琳	中国电子科技集团公司第五十八研究所	2023-02-20	电子与封装	期刊	多级级联; 插值; 抽取; 半带滤波器; 自动生成	针对数字上下变频的滤波需求和自动化的发展趋势，提出了一种级联半带滤波器寄存器传输级（RTL）自动生成方法。该方法首先读取设计需求参数，创建Python字典对象，将设计参数存储于此字典对象中；然后读取字典对象中的设计参数，基于Python分析并生成并行流水线结构的级联半带滤波器RTL代码。试验结果表明，提出的方法能够自动生成任意N级的级联半带插值滤波器或者任意N级的级联半带抽取滤波器，生成的滤波器能够实现2N倍的插值或者抽取，提升了设计效率，缩短了开发周期。	https://kns.cnki.net/kcms2/article/abstract?v=3uoqIhG8C44YLTlOAiTRKibYlV5Vjs7ioT0BO4yQ4m_mOgeS2ml3UAbADc9cCmJ1jTZl8db8cPWmYCaojrWUh0Dqk10CuUr3&uniplatform=NZKPT
12	基于Python的涉农职位招聘信息爬取与可视化分析	张晨祥1宁璐2冯明歌1	1. 北京农学院计算机与信息工程学院2. 北京农学院图书馆	2023-02-15	计算机时代	期刊	Python; 涉农职位; 网络爬虫; 数据可视化	我国大中专毕业生人数不断增加，涉农求职者面临着复杂严峻的就业形势。求职者面对纷繁复杂的职位信息，难以快速高效地找到自己心仪的工作。本研究基于Python程序获取涉农职位数据，经清洗后，使用Echarts、Tableau等工具对职位数据进行可视化分析。将涉农求职者关注的相关就业因素，绘制出学历要求环形图、涉农职位需求分布图、福利待遇词云等可视化页面。该项研究有助于求职者筛选出自己心仪的职位，也为涉农求职者提供就业参考。	https://kns.cnki.net/kcms2/article/abstract?v=3uoqIhG8C44YLTlOAiTRKibYlV5Vjs7ioT0BO4yQ4m_mOgeS2ml3ULhfjJlH-PHneWLJKjN-0eDfg75xLRT0eTdtQ8U0BAQ-&uniplatform=NZKPT
13	课程思政视角下在线开放课程建设探索与实践——以Python程序设计基础课程为例	虞菊花1常兴治2	1. 常州信息职业技术学院网络空间安全学院2. 常州信息职业技术学院软件与大数据学院	2023-02-15	常州信息职业技术学院学报	期刊	课程思政; 程序设计类课程; 在线开放课程	在线开放课程是信息化教学的重要组成部分，不仅有助于提高学生的自主学习能力，还能够辅助教师开展混合式教学。课程思政视角下的在线开放课程建设，是亟待深入研究的方向。根据目前在线开放课程在课程思政建设过程中遇到的各种问题，提出思政元素融入的路径和方法，并在Python程序设计基础课程中进行具体的实践，在实践中不断反思与改进，使课程建设与课程思政建设有机结合，真正实现“三全育人”。	https://kns.cnki.net/kcms2/article/abstract?v=3uoqIhG8C44YLTlOAiTRKibYlV5Vjs7ioT0BO4yQ4m_mOgeS2ml3UEadW41nz4AuKy6huf1DgAGpaX0GhD5kKj03aU-hMFNr&uniplatform=NZKPT
14	新工科背景下Python课程混合式教学模式的研究	张丽英1张岩1孙玉发2	1. 中国石油大学(北京)信息科学与工程学院2. 石油工业出版社有限公司	2023-02-15	计算机时代	期刊	混合式教学; 新工科; 信息化教学平台; Python	针对Python课程，依托雨课堂、Python123平台和微信APP，构建了三阶段混合式教学模式。该教学方法的创新和探索实践，有效地培养了学生自主学习和积极探索知识的能力，促进了学生参与课堂教学活动的深度，实现了对学生定量化、多元化的评价，对计算编程语言类课程的教学模式改革也具有参考价值。	https://kns.cnki.net/kcms2/article/abstract?v=3uoqIhG8C44YLTlOAiTRKibYlV5Vjs7ioT0BO4yQ4m_mOgeS2ml3ULhfjJlH-PHntW0pIAPKkNksFzyk5NbN3TMbYbIiKwaW&uniplatform=NZKPT
15	基于开源项目的Python程序设计课程混合式教学模式设计	王健刘惠子	辽宁师范大学计算机与信息技术学院	2023-02-15	软件导刊	期刊	混合模式; 开源项目; Python程序设计	随着开源文化的不断发展以及数字化进程的不断深入，开源创新理念结合线上教学平台的新信息化教学模式成为高校为培养创新型专业人才进行教学改革的新趋势。通过分析Python程序设计课堂现状，结合开源项目在实际教学中的应用情况，初步构建出基于开源项目的 Python程序设计课程混合式教学模式。该模式致力于学生自主学习、团队协作、融合创新等综合能力的培养，有效提升了课程教学质量。	https://kns.cnki.net/kcms2/article/abstract?v=3uoqIhG8C44YLTlOAiTRKu87-SJxoEJu6LL9TJzd50mEGD8tocCFzsYyHYLbvPzkaYGYvEGxBIURvtNoeYWqtTLIvmxBTkXB&uniplatform=NZKPT
16	基于Python的漏洞扫描软件设计	尹江涛	山西应用科技学院信息工程学院	2023-02-15	山西电子技术	期刊	Python模块; 主机发现技术; 端口扫描技术	随着互联网应用的不断延伸，信息系统安全问题也日益突出。为提升信息系统的安全性，定期开展漏洞扫描至关重要。本文着重探讨了主机发现技术和端口扫描技术，并进行了编程实现。通过软件的测试运行，可以发现给定网段的在线主机情况和端口开放情况，为信息系统的安全配置提供了基础数据。	https://kns.cnki.net/kcms2/article/abstract?v=3uoqIhG8C44YLTlOAiTRKu87-SJxoEJu6LL9TJzd50k0Ia1HdQbg6lgkx_1q-qL-nElYjq-UqFqG0A7RWbdFC4IqDkg0I49N&uniplatform=NZKPT
17	基于Python+PyEcharts的数据可视化应用	任夏荔	山西职业技术学院	2023-02-15	山西电子技术	期刊	全国人口普查; Python; PyEcharts; 数据可视化	在大数据时代背景下，如何从海量的数据中快速获取有价值的信息，从而发现数据中蕴藏的规律，显得格外重要。本文基于第七次全国人口普查的部分数据，利用Python语言结合PyEcharts可视化工具包实现了数据的可视化展示。谨以此，为数据可视化学习者提供参考与借鉴。	https://kns.cnki.net/kcms2/article/abstract?v=3uoqIhG8C44YLTlOAiTRKu87-SJxoEJu6LL9TJzd50k0Ia1HdQbg6lgkx_1q-qL-izPwstHZovX1lmA9kvJW2AGOsebhYtwf&uniplatform=NZKPT
18	基于python对巷道能量场数值模拟数据处理过程的优化	马龙师皓宇王崇智	华北科技学院安全工程学院	2023-02-15	华北科技学院学报	期刊	巷道围岩; 能量计算; Flac3d; Pyhon; 算法优化	岩体状态的变化必然伴随着能量的积聚或释放，但巷道围岩能量计算过程较为繁琐，不便推广应用。本文依据Flac3D计算数据，利用python算法整合数据处理与优化过程分析，进而导出采场围岩能量分布图。并以昌泰煤业有限公司1506运输巷为工程，通过计算得到如下结果：巷道两侧与顶板存在能量集中区域，并且两侧能量集中更为明显，在巷道开挖过程中，需要针对两侧与顶板加强防护。整个计算过程耗时极短，实现了提高效率的目的。	https://kns.cnki.net/kcms2/article/abstract?v=3uoqIhG8C44YLTlOAiTRKu87-SJxoEJu6LL9TJzd50nIBkg_V-aXj4XyjEIDXeAvu5CsQweIS5q5ZiWDNYY0PS6hoSc1mFJl&uniplatform=NZKPT
19	创新创业背景下Python程序设计课程教学设计与探索	王婷1田晨1何建华2	1. 南京财经大学管理科学与工程学院2. 南京大学天文与空间学院	2023-02-10	创新创业理论研究与实践	期刊	教学方法改革; 创新创业; 任务驱动; 编程语言; 创新意识; 经管专业; 企业合作	Python语言是目前十分流行的高级编程语言之一,也是很多高校管理类专业本科生的一门必修专业课。该文针对经管类专业学生的特点,秉承课程改革中培养学生积极主动性的精神,以创新创业任务为驱动力,对以往的教学方法、授课内容和考核标准进行调整,并将此与大学生创新能力培养有机结合,最后,提出了以提升学生自主学习积极性和培养学生创新意识和思维能力为目标的教学宗旨。经过三年课堂实践,本课题教学团队取得了良好的教学成果。	https://kns.cnki.net/kcms2/article/abstract?v=3uoqIhG8C44YLTlOAiTRKu87-SJxoEJu6LL9TJzd50nNMhAwsXt6YNHAjl_ZgEjQDO5HLD0pOqYsMJCMWYFqTYCo10vD7Dwc&uniplatform=NZKPT
21	基于Python的套接字编程	康梅娟郭状先	临沂大学	2023-02-05	科技资讯	期刊	Python; 套接字; TCP; UDP; 网络编程	该文介绍了如何使用Python开发基于TCP协议和UDP协议的聊天程序，使发送程序和接收程序能够接收键盘输入并彼此之间相互发送数据，并阐述了套接字的概念、套接字的分类、Python中的socket模块、Python中用于套接字编程的重要方法，并分别举例说明了网络中的主机使用TCP套接字和UDP套接字进行通信的流程以及如何使用Python实现TCP套接字编程和UDP套接字编程。	https://kns.cnki.net/kcms2/article/abstract?v=3uoqIhG8C44YLTlOAiTRKu87-SJxoEJu6LL9TJzd50njXcVrjYsE6Uo7aKPrY_Oovt_RoGQaat35FMEJhO5xefTECnYWy5WL&uniplatform=NZKPT
22	Python在大学物理中的应用——以光学单缝衍射为例	张柏桐孔鹏	吉首大学物理与机电工程学院	2023-02-05	物理通报	特色期刊	新工科; 大学物理; Python; 创新性	新工科建设是高等教育提出的一项工科人才培养的重要战略举措，作为工科专业的基础课程——大学物理对培养工科人才的作用尤其重要，如何在有限的学时内提升大学物理的教学有效性，则需要对教学的内容及教学方法进行改革.以Python语言作为切入点，通过分析目前工科大学物理的教学现状，结合一线教学实践，提出了Python语言与大学物理的融合，给出了提升工科学生创新性的策略和途径.	https://kns.cnki.net/kcms2/article/abstract?v=3uoqIhG8C44YLTlOAiTRKibYlV5Vjs7i0sWKd_U1u4npmAkF6_FIuYb0hxCKx7Suo07_GHCG5LSiSi-ty_yEWoiSg7b4drFg&uniplatform=NZKPT
23	基于ArcGIS模型构建器及Python对沈阳市造林核查质检程序的应用	张笑涵赵特	沈阳市勘察测绘研究院有限公司	2023-01-25	测绘与空间地理信息	期刊	ArcGIS; 模型构建器; Python	通过对ArcGIS中模型构建器(ModelBuilder)的应用及扩展，结合字段计算器中Python代码块输入自定义的表达式，对沈阳市造林数据库进行数据分析及质量检查，对其图形拓扑、字段合法性、属性逻辑性等项目进行判断，并将错误信息反馈至独立字段中。该质检程序将模型构建器和Python语言的功能合并，利用可视化模块式编程思路及必要的核心代码，即可完成复杂的生产工作。	https://kns.cnki.net/kcms2/article/abstract?v=3uoqIhG8C44YLTlOAiTRKibYlV5Vjs7ioT0BO4yQ4m_mOgeS2ml3UKolxNpl_HVjqa2Ip54rI67nPs1ROP7ety9GG1ZQaXuo&uniplatform=NZKPT
25	基于Python软件的故障录波数据分析	丁煜飞夏寅宇汪缪凡齐沛锋	南京工程学院电气工程学院	2023-01-25	电工技术	期刊	Python; 故障录波; 数据分析	随着数字式继电保护的大量推广使用，继电保护的可靠性与灵敏性得到了提升，而其中的故障录波器是提升电力系统安全运行水平的重要自动装置。以一个基于PSCAD/EMTDC软件仿真的故障案例说明利用Python软件可以进行故障录波文件读取与精确定量分析，为保护动作判断提供重要依据。	https://kns.cnki.net/kcms2/article/abstract?v=3uoqIhG8C44YLTlOAiTRKu87-SJxoEJu6LL9TJzd50lM-574cO5yo3u_80wUldOGlulVUuYOR4H-JKmNUWcEK_uOgZjRrHYD&uniplatform=NZKPT
26	基于Python编程的SAP财务软件自动账务处理设计与实现	吴健	中石化财务共享公司扬州服务部	2023-01-25	无线互联科技	期刊	Python; SAP财务软件; 账务处理	Python语言因其具有易读以及可扩展等特性，在各行各业中均得以应用。金融行业存在大量性质相同或完全类似的业务，这些业务若全部由人工处理耗时耗力，通过研究使用Python语言开发程序，利用程序来对SAP财务软件实现操控，从而实现账务业务的自动处理，达到替代人工操作的目的，也使得账务处理的效率和准确率大幅提高。	https://kns.cnki.net/kcms2/article/abstract?v=3uoqIhG8C44YLTlOAiTRKu87-SJxoEJu6LL9TJzd50n0vij3Pu9LJrYqKxB_IO2ort9d2eRRIIuOjrvVgctLs2McyX49vc2p&uniplatform=NZKPT
27	基于Python的可交互式城市地图的实现	吴伟殷琦辉王路李金丽	苏州市职业大学计算机工程学院	2023-01-25	无线互联科技	期刊	交互式; 城市地图; folium	通过对城市电子地图的现状和电子地图的使用分析，完全满足用户需求的可交互式地图还没有实现。文章提出了基于Python的第三方folium库，实现了在地图上标注、商圈以及展示地形的人机交互，为城市电子地图的使用提供了可以借鉴的发展方向。同时，还提出设计和开发在线交互地图使用平台或App,以方便用户的体验和专题使用，是今后城市电子地图的普遍应用方向。	https://kns.cnki.net/kcms2/article/abstract?v=3uoqIhG8C44YLTlOAiTRKu87-SJxoEJu6LL9TJzd50n0vij3Pu9LJrYqKxB_IO2oM6tSFcpnFWw0s4B7Vdm22p-Ofxx6DUQ3&uniplatform=NZKPT
28	Python语言在“程序设计基础”课程中的应用探讨	史文孙曼曼李春辉	河南省许昌市计算机应用工程技术研究中心许昌职业技术学院	2023-01-25	成才之路	特色期刊	Python语言; “程序设计基础”课程; 教学改革; 应用	随着科技的发展，人们的生活发生了巨大变化，新时代教育也发生了巨大变化。Python语言备受公司、大学的青睐，“程序设计基础”课程的应用范围逐渐扩大，Python语言课堂教学越来越受到重视和广泛关注，成为重要的研究课题。文章主要分析“程序设计基础”课程教学存在的问题，并提出相应的对策，论述Python语言在“程序设计基础”课程中的应用，对后疫情时期课程教学改革进行分析，对后续教学进行探索。	https://kns.cnki.net/kcms2/article/abstract?v=3uoqIhG8C44YLTlOAiTRKibYlV5Vjs7i0sWKd_U1u4npmAkF6_FIuRGER-pe15FI5Xj6pzc9TJMF2DnWQa2F10-BulyjMucZ&uniplatform=NZKPT
29	Python人工智能在师资培训中的应用	徐述汪彦	湖南城市学院信息与电子工程学院	2023-01-20	电子技术	期刊	新工科; 学科融合; 复合型技术; Python; 工程教育	阐述基于新工科背景的Python+人工智能模式，推动学科交叉与跨界整合，培养高素质复合型工程技术人才的工程教育，探讨Python+人工智能与产学研融合模式的培训体系架构。	https://kns.cnki.net/kcms2/article/abstract?v=3uoqIhG8C44YLTlOAiTRKibYlV5Vjs7ioT0BO4yQ4m_mOgeS2ml3UEFhglMbKAOro6BsunBTodKSUCu3ex9MvxwiQBSml4gN&uniplatform=NZKPT
